S_Value,Comparisons
1,18674041
2,18674041
3,18674102
4,18727398
5,18727398
6,18727398
7,18820563
8,19071913
9,19071913
10,19071913
11,19071913
12,19071913
13,19071913
14,19071913
15,19888394
16,20222611
17,20222611
18,20222611
19,20222611
20,20222611
21,20222611
22,20222611
23,20222611
24,20222611
25,20222611
26,20222611
27,20222611
28,20222611
29,20222611
30,21598223
31,23180843
32,23180843
33,23180843
34,23180843
35,23180843
36,23180843
37,23180843
38,23180843
39,23180843
40,23180843
41,23180843
42,23180843
43,23180843
44,23180843
45,23180843
46,23180843
47,23180843
48,23180843
49,23180843
50,23180843
51,23180843
52,23180843
53,23180843
54,23180843
55,23180843
56,23180843
57,23180843
58,23180843
59,23180843
60,23180843
61,29642114
62,29884956
63,29884956
64,29884956
65,29884956
66,29884956
67,29884956
68,29884956
69,29884956
70,29884956
71,29884956
72,29884956
73,29884956
74,29884956
75,29884956
76,29884956
77,29884956
78,29884956
79,29884956
80,29884956
81,29884956
82,29884956
83,29884956
84,29884956
85,29884956
86,29884956
87,29884956
88,29884956
89,29884956
90,29884956
91,29884956
92,29884956
93,29884956
94,29884956
95,29884956
96,29884956
97,29884956
98,29884956
99,29884956
100,29884956
101,29884956
102,29884956
103,29884956
104,29884956
105,29884956
106,29884956
107,29884956
108,29884956
109,29884956
110,29884956
111,29884956
112,29884956
113,29884956
114,29884956
115,29884956
116,29884956
117,29884956
118,29884956
119,29884956
120,29884956
121,29884956
122,43180782
123,44205193
124,44205193
125,44205193
126,44205193
127,44205193
128,44205193
